Continent,Country,Month,Seasons,State,Way In,Year,Count,GDP,Population
Europe,Spain,January,Winter,Paraná,Land,2009,1731,22000,40397842
Europe,Italy,January,Winter,Paraná,Land,2009,1280,26700,58133509
Europe,Sweden,January,Winter,Paraná,Land,2009,260,26800,9016596
Europe,Finland,January,Winter,Paraná,Land,2009,77,27400,5231372
Europe,France,January,Winter,Paraná,Land,2009,1410,27600,60876136
Europe,Germany,January,Winter,Paraná,Land,2009,1493,27600,82422299
Europe,United Kingdom,January,Winter,Paraná,Land,2009,1368,27700,60609153
Europe,Netherlands,January,Winter,Paraná,Land,2009,486,28600,16491461
Europe,Belgium,January,Winter,Paraná,Land,2009,158,29100,10379067
Europe,Ireland,January,Winter,Paraná,Land,2009,376,29600,4062235
Europe,Austria,January,Winter,Paraná,Land,2009,174,30000,8192880
Europe,Denmark,January,Winter,Paraná,Land,2009,351,31100,5450661
Europe,Switzerland,January,Winter,Paraná,Land,2009,513,32700,7523934
Europe,Norway,January,Winter,Paraná,Land,2009,108,37800,4610820
Europe,Russia,January,Winter,Rio Grande do Sul,Land,2009,0,8900,142893540
Europe,Poland,January,Winter,Rio Grande do Sul,Land,2009,22,11100,38536869
Europe,Hungary,January,Winter,Rio Grande do Sul,Land,2009,13,13900,9981334
Europe,Czech Republic,January,Winter,Rio Grande do Sul,Land,2009,4,15700,10235455
Europe,Portugal,January,Winter,Rio Grande do Sul,Land,2009,79,18000,10605870
Europe,Greece,January,Winter,Rio Grande do Sul,Land,2009,0,20000,10688058
Europe,Spain,January,Winter,Rio Grande do Sul,Land,2009,209,22000,40397842
Europe,Italy,January,Winter,Rio Grande do Sul,Land,2009,196,26700,58133509
Europe,Sweden,January,Winter,Rio Grande do Sul,Land,2009,218,26800,9016596
Europe,Finland,January,Winter,Rio Grande do Sul,Land,2009,22,27400,5231372
Europe,France,January,Winter,Rio Grande do Sul,Land,2009,249,27600,60876136
Europe,Germany,January,Winter,Rio Grande do Sul,Land,2009,419,27600,82422299
Europe,United Kingdom,January,Winter,Rio Grande do Sul,Land,2009,261,27700,60609153
Europe,Netherlands,January,Winter,Rio Grande do Sul,Land,2009,157,28600,16491461
Europe,Belgium,January,Winter,Rio Grande do Sul,Land,2009,39,29100,10379067
Europe,Ireland,January,Winter,Rio Grande do Sul,Land,2009,35,29600,4062235
Europe,Austria,January,Winter,Rio Grande do Sul,Land,2009,22,30000,8192880
Europe,Denmark,January,Winter,Rio Grande do Sul,Land,2009,48,31100,5450661
Europe,Switzerland,January,Winter,Rio Grande do Sul,Land,2009,52,32700,7523934
Europe,Norway,January,Winter,Rio Grande do Sul,Land,2009,92,37800,4610820
Europe,Russia,January,Winter,Santa Catari,Land,2009,0,8900,142893540
Europe,Poland,January,Winter,Santa Catari,Land,2009,0,11100,38536869
Europe,Hungary,January,Winter,Santa Catari,Land,2009,0,13900,9981334
Europe,Czech Republic,January,Winter,Santa Catari,Land,2009,0,15700,10235455
Europe,Portugal,January,Winter,Santa Catari,Land,2009,2,18000,10605870
Europe,Greece,January,Winter,Santa Catari,Land,2009,0,20000,10688058
Europe,Spain,January,Winter,Santa Catari,Land,2009,8,22000,40397842
Europe,Italy,January,Winter,Santa Catari,Land,2009,13,26700,58133509
Europe,Sweden,January,Winter,Santa Catari,Land,2009,3,26800,9016596
Europe,Finland,January,Winter,Santa Catari,Land,2009,0,27400,5231372
Europe,France,January,Winter,Santa Catari,Land,2009,3,27600,60876136
Europe,Germany,January,Winter,Santa Catari,Land,2009,11,27600,82422299
Europe,United Kingdom,January,Winter,Santa Catari,Land,2009,7,27700,60609153
Europe,Netherlands,January,Winter,Santa Catari,Land,2009,0,28600,16491461
Europe,Belgium,January,Winter,Santa Catari,Land,2009,0,29100,10379067
Europe,Ireland,January,Winter,Santa Catari,Land,2009,0,29600,4062235
Europe,Austria,January,Winter,Santa Catari,Land,2009,3,30000,8192880
Europe,Denmark,January,Winter,Santa Catari,Land,2009,4,31100,5450661
Europe,Switzerland,January,Winter,Santa Catari,Land,2009,12,32700,7523934
Europe,Norway,January,Winter,Santa Catari,Land,2009,0,37800,4610820
Europe,Russia,July,Summer,Amazos,Land,2009,0,8900,142893540
Europe,Poland,July,Summer,Amazos,Land,2009,0,11100,38536869
Europe,Hungary,July,Summer,Amazos,Land,2009,0,13900,9981334
Europe,Czech Republic,July,Summer,Amazos,Land,2009,0,15700,10235455
Europe,Portugal,July,Summer,Amazos,Land,2009,0,18000,10605870
Europe,Greece,July,Summer,Amazos,Land,2009,0,20000,10688058
Europe,Spain,July,Summer,Amazos,Land,2009,0,22000,40397842
Europe,Italy,July,Summer,Amazos,Land,2009,0,26700,58133509
Europe,Sweden,July,Summer,Amazos,Land,2009,0,26800,9016596
Europe,Finland,July,Summer,Amazos,Land,2009,0,27400,5231372
Europe,France,July,Summer,Amazos,Land,2009,4,27600,60876136
Europe,Germany,July,Summer,Amazos,Land,2009,2,27600,82422299
Europe,United Kingdom,July,Summer,Amazos,Land,2009,0,27700,60609153
Europe,Netherlands,July,Summer,Amazos,Land,2009,2,28600,16491461
Europe,Belgium,July,Summer,Amazos,Land,2009,0,29100,10379067
Europe,Ireland,July,Summer,Amazos,Land,2009,0,29600,4062235
Europe,Austria,July,Summer,Amazos,Land,2009,0,30000,8192880
Europe,Denmark,July,Summer,Amazos,Land,2009,0,31100,5450661
Europe,Switzerland,July,Summer,Amazos,Land,2009,0,32700,7523934
Europe,Norway,July,Summer,Amazos,Land,2009,0,37800,4610820
Europe,Russia,July,Summer,Mato Grosso do Sul,Land,2009,0,8900,142893540
Europe,Poland,July,Summer,Mato Grosso do Sul,Land,2009,0,11100,38536869
Europe,Hungary,July,Summer,Mato Grosso do Sul,Land,2009,0,13900,9981334
Europe,Czech Republic,July,Summer,Mato Grosso do Sul,Land,2009,0,15700,10235455
Europe,Portugal,July,Summer,Mato Grosso do Sul,Land,2009,0,18000,10605870
Europe,Greece,July,Summer,Mato Grosso do Sul,Land,2009,0,20000,10688058
Europe,Spain,July,Summer,Mato Grosso do Sul,Land,2009,0,22000,40397842
Europe,Italy,July,Summer,Mato Grosso do Sul,Land,2009,0,26700,58133509
Europe,Sweden,July,Summer,Mato Grosso do Sul,Land,2009,5,26800,9016596
Europe,Finland,July,Summer,Mato Grosso do Sul,Land,2009,0,27400,5231372
Europe,France,July,Summer,Mato Grosso do Sul,Land,2009,0,27600,60876136
Europe,Germany,July,Summer,Mato Grosso do Sul,Land,2009,0,27600,82422299
Europe,United Kingdom,July,Summer,Mato Grosso do Sul,Land,2009,0,27700,60609153
Europe,Netherlands,July,Summer,Mato Grosso do Sul,Land,2009,0,28600,16491461
Europe,Belgium,July,Summer,Mato Grosso do Sul,Land,2009,0,29100,10379067
Europe,Ireland,July,Summer,Mato Grosso do Sul,Land,2009,0,29600,4062235
Europe,Austria,July,Summer,Mato Grosso do Sul,Land,2009,0,30000,8192880
Europe,Denmark,July,Summer,Mato Grosso do Sul,Land,2009,0,31100,5450661
Europe,Switzerland,July,Summer,Mato Grosso do Sul,Land,2009,0,32700,7523934
Europe,Norway,July,Summer,Mato Grosso do Sul,Land,2009,0,37800,4610820
Europe,Russia,July,Summer,Other Units of the Federation,Land,2009,5,8900,142893540
Europe,Poland,July,Summer,Other Units of the Federation,Land,2009,0,11100,38536869
Europe,Hungary,July,Summer,Other Units of the Federation,Land,2009,0,13900,9981334
Europe,Czech Republic,July,Summer,Other Units of the Federation,Land,2009,0,15700,10235455
Europe,Portugal,July,Summer,Other Units of the Federation,Land,2009,2,18000,10605870
Europe,Greece,July,Summer,Other Units of the Federation,Land,2009,0,20000,10688058
Europe,Spain,July,Summer,Other Units of the Federation,Land,2009,0,22000,40397842
Europe,Italy,July,Summer,Other Units of the Federation,Land,2009,5,26700,58133509
Europe,Sweden,July,Summer,Other Units of the Federation,Land,2009,0,26800,9016596
Europe,Finland,July,Summer,Other Units of the Federation,Land,2009,0,27400,5231372
Europe,France,July,Summer,Other Units of the Federation,Land,2009,12,27600,60876136
Europe,Germany,July,Summer,Other Units of the Federation,Land,2009,5,27600,82422299
Europe,United Kingdom,July,Summer,Other Units of the Federation,Land,2009,0,27700,60609153
Europe,Netherlands,July,Summer,Other Units of the Federation,Land,2009,15,28600,16491461
Europe,Belgium,July,Summer,Other Units of the Federation,Land,2009,0,29100,10379067
Europe,Ireland,July,Summer,Other Units of the Federation,Land,2009,0,29600,4062235
Europe,Austria,July,Summer,Other Units of the Federation,Land,2009,0,30000,8192880
Europe,Denmark,July,Summer,Other Units of the Federation,Land,2009,0,31100,5450661
Europe,Switzerland,July,Summer,Other Units of the Federation,Land,2009,0,32700,7523934
Europe,Norway,July,Summer,Other Units of the Federation,Land,2009,0,37800,4610820
Europe,Russia,July,Summer,Paraná,Land,2009,18,8900,142893540
Europe,Poland,July,Summer,Paraná,Land,2009,114,11100,38536869
Europe,Hungary,July,Summer,Paraná,Land,2009,33,13900,9981334
Europe,Czech Republic,July,Summer,Paraná,Land,2009,69,15700,10235455
Europe,Portugal,July,Summer,Paraná,Land,2009,68,18000,10605870
Europe,Greece,July,Summer,Paraná,Land,2009,48,20000,10688058
Europe,Spain,July,Summer,Paraná,Land,2009,1564,22000,40397842
Europe,Italy,July,Summer,Paraná,Land,2009,652,26700,58133509
Europe,Sweden,July,Summer,Paraná,Land,2009,86,26800,9016596
Europe,Finland,July,Summer,Paraná,Land,2009,34,27400,5231372
Europe,France,July,Summer,Paraná,Land,2009,1382,27600,60876136
Europe,Germany,July,Summer,Paraná,Land,2009,1305,27600,82422299
Europe,United Kingdom,July,Summer,Paraná,Land,2009,1449,27700,60609153
Europe,Netherlands,July,Summer,Paraná,Land,2009,836,28600,16491461
Europe,Belgium,July,Summer,Paraná,Land,2009,421,29100,10379067
Europe,Ireland,July,Summer,Paraná,Land,2009,402,29600,4062235
Europe,Austria,July,Summer,Paraná,Land,2009,175,30000,8192880
Europe,Denmark,July,Summer,Paraná,Land,2009,313,31100,5450661
Europe,Switzerland,July,Summer,Paraná,Land,2009,418,32700,7523934
Europe,Norway,July,Summer,Paraná,Land,2009,68,37800,4610820
Europe,Russia,July,Summer,Rio Grande do Sul,Land,2009,0,8900,142893540
Europe,Poland,July,Summer,Rio Grande do Sul,Land,2009,0,11100,38536869
Africa,Cape Verde,February,Winter,Pará,Air,2014,0,1400,420979
Africa,Angola,February,Winter,Pará,Air,2014,0,1900,12127071
Africa,South Africa,February,Winter,Pará,Air,2014,0,10700,44187637
Africa,Nigeria,February,Winter,Permbuco,Air,2014,0,900,131859731
Africa,Cape Verde,February,Winter,Permbuco,Air,2014,0,1400,420979
Africa,Angola,February,Winter,Permbuco,Air,2014,0,1900,12127071
Africa,South Africa,February,Winter,Permbuco,Air,2014,0,10700,44187637
Africa,Nigeria,February,Winter,Rio Grande do Norte,Air,2014,0,900,131859731
Africa,Cape Verde,February,Winter,Rio Grande do Norte,Air,2014,0,1400,420979
Africa,Angola,February,Winter,Rio Grande do Norte,Air,2014,0,1900,12127071
Africa,South Africa,February,Winter,Rio Grande do Norte,Air,2014,0,10700,44187637
Africa,Nigeria,February,Winter,Rio Grande do Sul,Air,2014,0,900,131859731
Africa,Cape Verde,February,Winter,Rio Grande do Sul,Air,2014,0,1400,420979
Africa,Angola,February,Winter,Rio Grande do Sul,Air,2014,0,1900,12127071
Africa,South Africa,February,Winter,Rio Grande do Sul,Air,2014,0,10700,44187637
Africa,Nigeria,February,Winter,Rio de Janeiro,Air,2014,184,900,131859731
Africa,Cape Verde,February,Winter,Rio de Janeiro,Air,2014,25,1400,420979
Africa,Angola,February,Winter,Rio de Janeiro,Air,2014,1536,1900,12127071
Africa,South Africa,February,Winter,Rio de Janeiro,Air,2014,140,10700,44187637
Africa,Nigeria,February,Winter,Roraima,Air,2014,0,900,131859731
Africa,Cape Verde,February,Winter,Roraima,Air,2014,0,1400,420979
Africa,Angola,February,Winter,Roraima,Air,2014,0,1900,12127071
Africa,South Africa,February,Winter,Roraima,Air,2014,0,10700,44187637
Africa,Nigeria,February,Winter,Santa Catari,Air,2014,0,900,131859731
Africa,Cape Verde,February,Winter,Santa Catari,Air,2014,0,1400,420979
Africa,Angola,February,Winter,Santa Catari,Air,2014,0,1900,12127071
Africa,South Africa,February,Winter,Santa Catari,Air,2014,0,10700,44187637
Africa,Nigeria,February,Winter,São Paulo,Air,2014,133,900,131859731
Africa,Cape Verde,February,Winter,São Paulo,Air,2014,25,1400,420979
Africa,Angola,February,Winter,São Paulo,Air,2014,1985,1900,12127071
Africa,South Africa,February,Winter,São Paulo,Air,2014,945,10700,44187637
Africa,Nigeria,January,Winter,Acre,Air,2014,0,900,131859731
Africa,Cape Verde,January,Winter,Acre,Air,2014,0,1400,420979
Africa,Angola,January,Winter,Acre,Air,2014,0,1900,12127071
Africa,South Africa,January,Winter,Acre,Air,2014,0,10700,44187637
Africa,Nigeria,January,Winter,Amapá,Air,2014,0,900,131859731
Africa,Cape Verde,January,Winter,Amapá,Air,2014,0,1400,420979
Africa,Angola,January,Winter,Amapá,Air,2014,0,1900,12127071
Africa,South Africa,January,Winter,Amapá,Air,2014,0,10700,44187637
Africa,Nigeria,January,Winter,Amazos,Air,2014,0,900,131859731
Africa,Cape Verde,January,Winter,Amazos,Air,2014,0,1400,420979
Africa,Angola,January,Winter,Amazos,Air,2014,0,1900,12127071
Africa,South Africa,January,Winter,Amazos,Air,2014,0,10700,44187637
Africa,Nigeria,January,Winter,Bahia,Air,2014,0,900,131859731
Africa,Cape Verde,January,Winter,Bahia,Air,2014,0,1400,420979
Africa,Angola,January,Winter,Bahia,Air,2014,4,1900,12127071
Africa,South Africa,January,Winter,Bahia,Air,2014,0,10700,44187637
Africa,Nigeria,January,Winter,Ceará,Air,2014,9,900,131859731
Africa,Cape Verde,January,Winter,Ceará,Air,2014,111,1400,420979
Africa,Angola,January,Winter,Ceará,Air,2014,0,1900,12127071
Africa,South Africa,January,Winter,Ceará,Air,2014,0,10700,44187637
Africa,Nigeria,January,Winter,Distrito Federal,Air,2014,0,900,131859731
Africa,Cape Verde,January,Winter,Distrito Federal,Air,2014,1,1400,420979
Africa,Angola,January,Winter,Distrito Federal,Air,2014,4,1900,12127071
Africa,South Africa,January,Winter,Distrito Federal,Air,2014,3,10700,44187637
Africa,Nigeria,January,Winter,Mis Gerais,Air,2014,0,900,131859731
Africa,Cape Verde,January,Winter,Mis Gerais,Air,2014,0,1400,420979
Africa,Angola,January,Winter,Mis Gerais,Air,2014,0,1900,12127071
Africa,South Africa,January,Winter,Mis Gerais,Air,2014,0,10700,44187637
Africa,Nigeria,January,Winter,Other Units of the Federation,Air,2014,0,900,131859731
Africa,Cape Verde,January,Winter,Other Units of the Federation,Air,2014,0,1400,420979
Africa,Angola,January,Winter,Other Units of the Federation,Air,2014,0,1900,12127071
Africa,South Africa,January,Winter,Other Units of the Federation,Air,2014,0,10700,44187637
Africa,Nigeria,January,Winter,Paraná,Air,2014,0,900,131859731
Africa,Cape Verde,January,Winter,Paraná,Air,2014,0,1400,420979
Africa,Angola,January,Winter,Paraná,Air,2014,0,1900,12127071
Africa,South Africa,January,Winter,Paraná,Air,2014,3,10700,44187637
Africa,Nigeria,January,Winter,Pará,Air,2014,0,900,131859731
Africa,Cape Verde,January,Winter,Pará,Air,2014,0,1400,420979
Africa,Angola,January,Winter,Pará,Air,2014,0,1900,12127071
Africa,South Africa,January,Winter,Pará,Air,2014,0,10700,44187637
Africa,Nigeria,January,Winter,Permbuco,Air,2014,0,900,131859731
Africa,Cape Verde,January,Winter,Permbuco,Air,2014,0,1400,420979
Africa,Angola,January,Winter,Permbuco,Air,2014,0,1900,12127071
Africa,South Africa,January,Winter,Permbuco,Air,2014,0,10700,44187637
Africa,Nigeria,January,Winter,Rio Grande do Norte,Air,2014,0,900,131859731
Africa,Cape Verde,January,Winter,Rio Grande do Norte,Air,2014,0,1400,420979
Africa,Angola,January,Winter,Rio Grande do Norte,Air,2014,0,1900,12127071
Africa,South Africa,January,Winter,Rio Grande do Norte,Air,2014,0,10700,44187637
Africa,Nigeria,January,Winter,Rio Grande do Sul,Air,2014,0,900,131859731
Africa,Cape Verde,January,Winter,Rio Grande do Sul,Air,2014,0,1400,420979
Africa,Angola,January,Winter,Rio Grande do Sul,Air,2014,1,1900,12127071
Africa,South Africa,January,Winter,Rio Grande do Sul,Air,2014,4,10700,44187637
Africa,Nigeria,January,Winter,Rio de Janeiro,Air,2014,76,900,131859731
Africa,Cape Verde,January,Winter,Rio de Janeiro,Air,2014,3,1400,420979
Africa,Angola,January,Winter,Rio de Janeiro,Air,2014,2378,1900,12127071
Africa,South Africa,January,Winter,Rio de Janeiro,Air,2014,174,10700,44187637
Africa,Nigeria,January,Winter,Roraima,Air,2014,0,900,131859731
Africa,Cape Verde,January,Winter,Roraima,Air,2014,0,1400,420979
Africa,Angola,January,Winter,Roraima,Air,2014,0,1900,12127071
Africa,South Africa,January,Winter,Roraima,Air,2014,0,10700,44187637
Africa,Nigeria,January,Winter,Santa Catari,Air,2014,0,900,131859731
Africa,Cape Verde,January,Winter,Santa Catari,Air,2014,0,1400,420979
Africa,Angola,January,Winter,Santa Catari,Air,2014,0,1900,12127071
Africa,South Africa,January,Winter,Santa Catari,Air,2014,0,10700,44187637
Africa,Nigeria,January,Winter,São Paulo,Air,2014,78,900,131859731
Africa,Cape Verde,January,Winter,São Paulo,Air,2014,15,1400,420979
Africa,Angola,January,Winter,São Paulo,Air,2014,3178,1900,12127071
Africa,South Africa,January,Winter,São Paulo,Air,2014,823,10700,44187637
Africa,Nigeria,July,Summer,Acre,Air,2014,0,900,131859731
Africa,Cape Verde,July,Summer,Acre,Air,2014,0,1400,420979
Africa,Angola,July,Summer,Acre,Air,2014,0,1900,12127071
Africa,South Africa,July,Summer,Acre,Air,2014,0,10700,44187637
Africa,Nigeria,July,Summer,Amapá,Air,2014,0,900,131859731
Africa,Cape Verde,July,Summer,Amapá,Air,2014,0,1400,420979
Africa,Angola,July,Summer,Amapá,Air,2014,0,1900,12127071
Africa,South Africa,July,Summer,Amapá,Air,2014,0,10700,44187637
Africa,Nigeria,July,Summer,Amazos,Air,2014,1,900,131859731
Africa,Cape Verde,July,Summer,Amazos,Air,2014,1,1400,420979
Africa,Angola,July,Summer,Amazos,Air,2014,0,1900,12127071
Africa,South Africa,July,Summer,Amazos,Air,2014,0,10700,44187637
Africa,Nigeria,July,Summer,Bahia,Air,2014,0,900,131859731
Africa,Cape Verde,July,Summer,Bahia,Air,2014,0,1400,420979
Africa,Angola,July,Summer,Bahia,Air,2014,4,1900,12127071
Africa,South Africa,July,Summer,Bahia,Air,2014,0,10700,44187637
Africa,Nigeria,July,Summer,Ceará,Air,2014,3,900,131859731
Africa,Cape Verde,July,Summer,Ceará,Air,2014,183,1400,420979
Africa,Angola,July,Summer,Ceará,Air,2014,0,1900,12127071
Africa,South Africa,July,Summer,Ceará,Air,2014,0,10700,44187637
Africa,Nigeria,July,Summer,Distrito Federal,Air,2014,0,900,131859731
Africa,Cape Verde,July,Summer,Distrito Federal,Air,2014,0,1400,420979
Africa,Angola,July,Summer,Distrito Federal,Air,2014,1,1900,12127071
Africa,South Africa,July,Summer,Distrito Federal,Air,2014,10,10700,44187637
Africa,Nigeria,July,Summer,Mis Gerais,Air,2014,0,900,131859731
Africa,Cape Verde,July,Summer,Mis Gerais,Air,2014,0,1400,420979
Africa,Angola,July,Summer,Mis Gerais,Air,2014,1,1900,12127071
Africa,South Africa,July,Summer,Mis Gerais,Air,2014,4,10700,44187637
Africa,Nigeria,July,Summer,Other Units of the Federation,Air,2014,0,900,131859731
Africa,Cape Verde,July,Summer,Other Units of the Federation,Air,2014,0,1400,420979
Africa,Angola,July,Summer,Other Units of the Federation,Air,2014,0,1900,12127071
Africa,South Africa,July,Summer,Other Units of the Federation,Air,2014,0,10700,44187637
Africa,Nigeria,July,Summer,Paraná,Air,2014,0,900,131859731
Africa,Cape Verde,July,Summer,Paraná,Air,2014,0,1400,420979
Africa,Angola,July,Summer,Paraná,Air,2014,0,1900,12127071
Africa,South Africa,July,Summer,Paraná,Air,2014,2,10700,44187637
Africa,Nigeria,July,Summer,Pará,Air,2014,0,900,131859731
Africa,Cape Verde,July,Summer,Pará,Air,2014,0,1400,420979
Africa,Angola,July,Summer,Pará,Air,2014,0,1900,12127071
Africa,South Africa,July,Summer,Pará,Air,2014,0,10700,44187637
Africa,Nigeria,July,Summer,Permbuco,Air,2014,0,900,131859731
Africa,Cape Verde,July,Summer,Permbuco,Air,2014,0,1400,420979
Africa,Angola,July,Summer,Permbuco,Air,2014,0,1900,12127071
Africa,South Africa,July,Summer,Permbuco,Air,2014,0,10700,44187637
Africa,Nigeria,July,Summer,Rio Grande do Norte,Air,2014,0,900,131859731
Africa,Cape Verde,July,Summer,Rio Grande do Norte,Air,2014,0,1400,420979
Africa,Angola,July,Summer,Rio Grande do Norte,Air,2014,0,1900,12127071
Africa,South Africa,July,Summer,Rio Grande do Norte,Air,2014,0,10700,44187637
Africa,Nigeria,July,Summer,Rio Grande do Sul,Air,2014,0,900,131859731
Africa,Cape Verde,July,Summer,Rio Grande do Sul,Air,2014,0,1400,420979
Africa,Angola,July,Summer,Rio Grande do Sul,Air,2014,2,1900,12127071
Africa,South Africa,July,Summer,Rio Grande do Sul,Air,2014,7,10700,44187637
Africa,Nigeria,July,Summer,Rio de Janeiro,Air,2014,170,900,131859731
Africa,Cape Verde,July,Summer,Rio de Janeiro,Air,2014,18,1400,420979
Africa,Angola,July,Summer,Rio de Janeiro,Air,2014,1228,1900,12127071
Africa,South Africa,July,Summer,Rio de Janeiro,Air,2014,421,10700,44187637
Africa,Nigeria,July,Summer,Roraima,Air,2014,0,900,131859731
Africa,Cape Verde,July,Summer,Roraima,Air,2014,0,1400,420979
Africa,Angola,July,Summer,Roraima,Air,2014,0,1900,12127071
Africa,South Africa,July,Summer,Roraima,Air,2014,0,10700,44187637
Africa,Nigeria,July,Summer,Santa Catari,Air,2014,0,900,131859731
Africa,Cape Verde,July,Summer,Santa Catari,Air,2014,0,1400,420979
Africa,Angola,July,Summer,Santa Catari,Air,2014,0,1900,12127071
Africa,South Africa,July,Summer,Santa Catari,Air,2014,0,10700,44187637
Africa,Nigeria,July,Summer,São Paulo,Air,2014,736,900,131859731
Europe,Germany,August,Summer,Mato Grosso do Sul,Land,2010,0,27600,82422299
Europe,United Kingdom,August,Summer,Mato Grosso do Sul,Land,2010,0,27700,60609153
Europe,Netherlands,August,Summer,Mato Grosso do Sul,Land,2010,0,28600,16491461
Europe,Belgium,August,Summer,Mato Grosso do Sul,Land,2010,0,29100,10379067
Europe,Ireland,August,Summer,Mato Grosso do Sul,Land,2010,0,29600,4062235
Europe,Austria,August,Summer,Mato Grosso do Sul,Land,2010,0,30000,8192880
Europe,Denmark,August,Summer,Mato Grosso do Sul,Land,2010,17,31100,5450661
Europe,Switzerland,August,Summer,Mato Grosso do Sul,Land,2010,0,32700,7523934
Europe,Norway,August,Summer,Mato Grosso do Sul,Land,2010,0,37800,4610820
Europe,Russia,August,Summer,Other Units of the Federation,Land,2010,0,8900,142893540
Europe,Poland,August,Summer,Other Units of the Federation,Land,2010,0,11100,38536869
Europe,Hungary,August,Summer,Other Units of the Federation,Land,2010,0,13900,9981334
Europe,Czech Republic,August,Summer,Other Units of the Federation,Land,2010,0,15700,10235455
Europe,Portugal,August,Summer,Other Units of the Federation,Land,2010,0,18000,10605870
Europe,Greece,August,Summer,Other Units of the Federation,Land,2010,0,20000,10688058
Europe,Spain,August,Summer,Other Units of the Federation,Land,2010,4,22000,40397842
Europe,Italy,August,Summer,Other Units of the Federation,Land,2010,2,26700,58133509
Europe,Sweden,August,Summer,Other Units of the Federation,Land,2010,4,26800,9016596
